Method,Metric,EbNo_0.0dB,EbNo_5.0dB,EbNo_10.0dB,EbNo_15.0dB,EbNo_20.0dB
ls,ber,0.021565755208333332,0.0,0.026774088541666668,0.0,0.0
ls,ber_upper_confidence,0.023828841455085955,0.00024379331653271404,0.029275510073956058,0.00024379331653271404,0.00024379331653271404
ls,throughput,6011.5,6144.0,5979.5,6144.0,6144.0
ls,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
ls,bit_errors,265,0,329,0,0
ls,total_bits,12288,12288,12288,12288,12288
dft,ber,0.0,0.0,0.0,0.0,0.0
dft,ber_upper_confidence,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
dft,throughput,6144.0,6144.0,6144.0,6144.0,6144.0
dft,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
dft,bit_errors,0,0,0,0,0
dft,total_bits,12288,12288,12288,12288,12288
lmmse,ber,0.0,0.0,0.0,0.0,0.0
lmmse,ber_upper_confidence,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
lmmse,throughput,6144.0,6144.0,6144.0,6144.0,6144.0
lmmse,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
lmmse,bit_errors,0,0,0,0,0
lmmse,total_bits,12288,12288,12288,12288,12288
pso,ber,0.11360677083333333,0.15576171875,0.12825520833333334,0.06778971354166667,0.08610026041666667
pso,ber_upper_confidence,0.11840078759167191,0.1612182703340903,0.13329873574648185,0.07161580153584567,0.09035425673870581
pso,throughput,5446.0,5187.0,5356.0,5727.5,5615.0
pso,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
pso,bit_errors,1396,1914,1576,833,1058
pso,total_bits,12288,12288,12288,12288,12288
perfect,ber,0.0,0.0,0.0,0.0,0.0
perfect,ber_upper_confidence,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
perfect,throughput,6144.0,6144.0,6144.0,6144.0,6144.0
perfect,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
perfect,bit_errors,0,0,0,0,0
perfect,total_bits,12288,12288,12288,12288,12288
