Method,Metric,EbNo_-5.0dB,EbNo_-4.5dB,EbNo_-4.0dB,EbNo_-3.5dB,EbNo_-3.0dB,EbNo_-2.5dB,EbNo_-2.0dB,EbNo_-1.5dB,EbNo_-1.0dB,EbNo_-0.5dB,EbNo_0.0dB,EbNo_0.5dB,EbNo_1.0dB,EbNo_1.5dB,EbNo_2.0dB,EbNo_2.5dB,EbNo_3.0dB,EbNo_3.5dB,EbNo_4.0dB,EbNo_4.5dB,EbNo_5.0dB,EbNo_5.5dB,EbNo_6.0dB,EbNo_6.5dB,EbNo_7.0dB,EbNo_7.5dB,EbNo_8.0dB,EbNo_8.5dB,EbNo_9.0dB,EbNo_9.5dB,EbNo_10.0dB
ls,ber,0.2849171956380208,0.2735850016276042,0.25317637125651044,0.23423258463541666,0.21111297607421875,0.1692377726236979,0.13842010498046875,0.08307393391927083,0.0680096944173177,0.039353804154829544,0.021984970360471492,0.014045884874131944,0.010996500651041666,0.006896808583249328,0.0037364959716796875,0.0036369959513346353,0.0015951792399088542,0.0,0.0,0.0011340777079264324,0.000961144765218099,0.0,0.0,0.0,0.0,0.0,0.0002605120340983073,0.0003210703531901042,0.0,0.0,0.0
ls,ber_upper_confidence,0.28610266544816076,0.27475592181275205,0.2543186640043227,0.23534533343278674,0.21218543694398617,0.17022360276862086,0.1393284488538916,0.08366695439828999,0.06847815084638738,0.03966251178775681,0.02216214607414714,0.014159047098463216,0.011083342063998036,0.006952167939121462,0.0037767201722928028,0.0036766858585655943,0.0016215648065886039,7.618541141647314e-06,7.618541141647314e-06,0.0011563645125529124,0.0009816811325054208,7.618541141647314e-06,7.618541141647314e-06,7.618541141647314e-06,7.618541141647314e-06,7.618541141647314e-06,0.0002713121235510459,0.00033303568455393245,7.618541141647314e-06,7.618541141647314e-06,7.618541141647314e-06
ls,throughput,70295.5,71409.5,73415.75,75278.0,77550.75,81667.25,84696.75,90137.5,91618.375,94435.36363636363,96142.78947368421,96923.23333333334,97223.0,97626.01612903226,97936.6875,97946.46875,98147.1875,98304.0,98304.0,98192.515625,98209.515625,98304.0,98304.0,98304.0,98304.0,98304.0,98278.390625,98272.4375,98304.0,98304.0,98304.0
ls,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333335,0.0005395833333333334,0.0005395833333333332,0.0005395833333333331,0.0005395833333333333,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
ls,bit_errors,112034,107578,99553,92104,83013,66547,54429,48999,53485,42555,41063,41423,43240,42035,23508,22882,10036,0,0,7135,6047,0,0,0,0,0,1639,2020,0,0,0
ls,total_bits,393216,393216,393216,393216,393216,393216,393216,589824,786432,1081344,1867776,2949120,3932160,6094848,6291456,6291456,6291456,393216,393216,6291456,6291456,393216,393216,393216,393216,393216,6291456,6291456,393216,393216,393216
ls,block_errors,256,256,256,256,255,239,207,219,227,211,201,208,200,200,103,104,48,0,0,23,24,0,0,0,0,0,7,8,0,0,0
ls,total_blocks,256,256,256,256,256,256,256,384,512,704,1216,1920,2560,3968,4096,4096,4096,256,256,4096,4096,256,256,256,256,256,4096,4096,256,256,256
ls,num_batches,4,4,4,4,4,4,4,6,8,11,19,30,40,62,64,64,64,4,4,64,64,4,4,4,4,4,64,64,4,4,4
dft,ber,0.2454503377278646,0.2278594970703125,0.2015228271484375,0.16023763020833334,0.12648111979166668,0.08610026041666667,0.05854853877314815,0.03341456821986607,0.02252044677734375,0.014574686686197916,0.010016932631983902,0.005193074544270833,0.004344940185546875,0.0036476453145345054,0.001755078633626302,0.001063982645670573,0.000694115956624349,0.0,0.0,0.00020647048950195312,0.0,0.00023651123046875,0.0,0.0,1.1761983235677084e-05,0.0,0.0,0.0,0.0,0.0,0.0
