Method,Metric,EbNo_0.0dB,EbNo_5.0dB,EbNo_10.0dB,EbNo_15.0dB,EbNo_20.0dB
static,ber,0.038411458333333336,0.0,0.0,0.0,0.0
static,ber_upper_confidence,0.04136631497479344,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
static,throughput,5908.0,6144.0,6144.0,6144.0,6144.0
static,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
static,bit_errors,472,0,0,0,0
static,total_bits,12288,12288,12288,12288,12288
round_robin,ber,0.011393229166666666,0.0,0.0,0.0,0.0
round_robin,ber_upper_confidence,0.013079068749576218,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
round_robin,throughput,6074.0,6144.0,6144.0,6144.0,6144.0
round_robin,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
round_robin,bit_errors,140,0,0,0,0
round_robin,total_bits,12288,12288,12288,12288,12288
max_throughput,ber,0.0,0.026936848958333332,0.0,0.0,0.0
max_throughput,ber_upper_confidence,0.00024379331653271404,0.029445294135044254,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
max_throughput,throughput,6144.0,5978.5,6144.0,6144.0,6144.0
max_throughput,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
max_throughput,bit_errors,0,331,0,0,0
max_throughput,total_bits,12288,12288,12288,12288,12288
pf,ber,0.0,0.0,0.0,0.0,0.0
pf,ber_upper_confidence,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
pf,throughput,6144.0,6144.0,6144.0,6144.0,6144.0
pf,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
pf,bit_errors,0,0,0,0,0
pf,total_bits,12288,12288,12288,12288,12288
